K,mu_eff_from_lambda,mu0_real,mu0_imag,mu1_real,mu1_imag
5.36,-9.022972970286334,-6.158981313456886,0.7111285528364002,-6.158981313456886,-0.7111285528364002
5.37,-9.037163282720705,-6.170472009890905,0.7124554757980821,-6.170472009890905,-0.7124554757980821
5.38,-9.051351160572517,-6.181962706214285,0.713782398407379,-6.181962706214285,-0.713782398407379
5.390000000000001,-9.065536610611423,-6.19345340242764,0.7151093206662468,-6.19345340242764,-0.7151093206662468
5.4,-9.079719639575611,-6.204944098531582,0.716436242576628,-6.204944098531582,-0.716436242576628
5.41,-9.093900254172247,-6.216434794526711,0.7177631641404477,-6.216434794526711,-0.7177631641404477
5.42,-9.108078461077106,-6.227925490413636,0.7190900853596196,-6.227925490413636,-0.7190900853596196
5.43,-9.122254266934558,-6.23941618619295,0.7204170062360435,-6.23941618619295,-0.7204170062360435
5.44,-9.136427678360846,-6.250906881865254,0.7217439267716024,-6.250906881865254,-0.7217439267716024
5.45,-9.150598701939037,-6.262397577431123,0.7230708469681669,-6.262397577431123,-0.7230708469681669
5.46,-9.164767344224021,-6.2738882728911545,0.7243977668275979,-6.2738882728911545,-0.7243977668275979
5.470000000000001,-9.178933611740135,-6.2853789682459205,0.7257246863517364,-6.2853789682459205,-0.7257246863517364
5.48,-9.193097510982316,-6.296869663495998,0.7270516055424131,-6.296869663495998,-0.7270516055424131
5.49,-9.207259048414437,-6.308360358641961,0.7283785244014456,-6.308360358641961,-0.7283785244014456
5.5,-9.221418230473086,-6.319851053684374,0.7297054429306368,-6.319851053684374,-0.7297054429306368
5.51,-9.235575063563715,-6.331341748623803,0.7310323611317787,-6.331341748623803,-0.7310323611317787
5.5200000000000005,-9.249729554064688,-6.342832443460807,0.7323592790066491,-6.342832443460807,-0.7323592790066491
5.53,-9.263881708324549,-6.354323138195937,0.7336861965570126,-6.354323138195937,-0.7336861965570126
5.54,-9.278031532663043,-6.365813832829752,0.7350131137846229,-6.365813832829752,-0.7350131137846229
5.550000000000001,-9.292179033371603,-6.377304527362793,0.7363400306912175,-6.377304527362793,-0.7363400306912175
5.5600000000000005,-9.30632421671329,-6.388795221795604,0.7376669472785257,-6.388795221795604,-0.7376669472785257
5.57,-9.320467088923953,-6.400285916128725,0.7389938635482615,-6.400285916128725,-0.7389938635482615
5.58,-9.334607656209634,-6.4117766103626925,0.7403207795021282,-6.4117766103626925,-0.7403207795021282
5.59,-9.348745924750766,-6.423267304498039,0.7416476951418156,-6.423267304498039,-0.7416476951418156
5.6,-9.362881900698737,-6.4347579985352885,0.7429746104690023,-6.4347579985352885,-0.7429746104690023
5.61,-9.377015590178514,-6.446248692474972,0.7443015254853558,-6.446248692474972,-0.7443015254853558
5.62,-9.391146999286912,-6.457739386317603,0.7456284401925307,-6.457739386317603,-0.7456284401925307
5.63,-9.40527613409414,-6.4692300800637,0.7469553545921677,-6.4692300800637,-0.7469553545921677
5.640000000000001,-9.419403000643653,-6.480720773713779,0.7482822686859004,-6.480720773713779,-0.7482822686859004
5.65,-9.43352760495226,-6.492211467268346,0.7496091824753481,-6.492211467268346,-0.7496091824753481
5.66,-9.447649953008883,-6.503702160727909,0.7509360959621199,-6.503702160727909,-0.7509360959621199
5.67,-9.461770050778481,-6.515192854092969,0.7522630091478113,-6.515192854092969,-0.7522630091478113
5.68,-9.475887904197531,-6.526683547364025,0.7535899220340103,-6.526683547364025,-0.7535899220340103
5.69,-9.490003519177678,-6.538174240541573,0.754916834622291,-6.538174240541573,-0.754916834622291
5.7,-9.504116901603796,-6.5496649336261035,0.7562437469142151,-6.5496649336261035,-0.7562437469142151
5.71,-9.51822805733615,-6.561155626618108,0.7575706589113382,-6.561155626618108,-0.7575706589113382
5.720000000000001,-9.532336992208565,-6.572646319518066,0.7588975706152012,-6.572646319518066,-0.7588975706152012
5.73,-9.54644371202937,-6.584137012326463,0.7602244820273358,-6.584137012326463,-0.7602244820273358
5.74,-9.560548222581808,-6.595627705043777,0.7615513931492611,-6.595627705043777,-0.7615513931492611
5.75,-9.57465052962447,-6.607118397670479,0.7628783039824888,-6.607118397670479,-0.7628783039824888
5.76,-9.588750638889795,-6.6186090902070465,0.7642052145285186,-6.6186090902070465,-0.7642052145285186
5.7700000000000005,-9.602848556086839,-6.630099782653945,0.7655321247888391,-6.630099782653945,-0.7655321247888391
5.78,-9.616944286899162,-6.641590475011636,0.7668590347649292,-6.641590475011636,-0.7668590347649292
5.79,-9.631037836985376,-6.65308116728059,0.7681859444582575,-6.65308116728059,-0.7681859444582575
5.800000000000001,-9.64512921198044,-6.664571859461256,0.7695128538702835,-6.664571859461256,-0.7695128538702835
5.8100000000000005,-9.659218417495127,-6.676062551554096,0.7708397630024562,-6.676062551554096,-0.7708397630024562
5.82,-9.673305459115731,-6.687553243559561,0.7721666718562122,-6.687553243559561,-0.7721666718562122
5.83,-9.687390342404731,-6.699043935478097,0.7734935804329828,-6.699043935478097,-0.7734935804329828
5.84,-9.701473072900633,-6.710534627310154,0.7748204887341845,-6.710534627310154,-0.7748204887341845
5.85,-9.715553656117802,-6.722025319056175,0.7761473967612291,-6.722025319056175,-0.7761473967612291
5.86,-9.729632097549176,-6.733516010716596,0.777474304515516,-6.733516010716596,-0.777474304515516
5.87,-9.743708402662607,-6.7450067022918585,0.7788012119984351,-6.7450067022918585,-0.7788012119984351
5.880000000000001,-9.757782576901828,-6.756497393782397,0.7801281192113676,-6.756497393782397,-0.7801281192113676
5.890000000000001,-9.771854625689278,-6.76798808518864,0.7814550261556847,-6.76798808518864,-0.7814550261556847
5.9,-9.785924554424062,-6.779478776511018,0.7827819328327491,-6.779478776511018,-0.7827819328327491
5.91,-9.799992368481634,-6.790969467749953,0.7841088392439138,-6.790969467749953,-0.7841088392439138
5.92,-9.814058073216046,-6.80246015890587,0.7854357453905221,-6.80246015890587,-0.7854357453905221
5.93,-9.828121673957122,-6.813950849979191,0.7867626512739099,-6.813950849979191,-0.7867626512739099
5.94,-9.84218317601355,-6.825441540970326,0.7880895568954015,-6.825441540970326,-0.7880895568954015
5.95,-9.856242584672056,-6.836932231879698,0.7894164622563166,-6.836932231879698,-0.7894164622563166
5.960000000000001,-9.870299905194988,-6.848422922707709,0.7907433673579614,-6.848422922707709,-0.7907433673579614
5.970000000000001,-9.884355142825683,-6.859913613454775,0.7920702722016357,-6.859913613454775,-0.7920702722016357
5.98,-9.898408302783654,-6.871404304121296,0.793397176788631,-6.871404304121296,-0.793397176788631
5.99,-9.912459390265703,-6.88289499470768,0.7947240811202291,-6.88289499470768,-0.7947240811202291
6.0,-9.926508410450039,-6.894385685214328,0.7960509851977039,-6.894385685214328,-0.7960509851977039
6.01,-9.940555368491141,-6.90587637564163,0.7973778890223201,-6.90587637564163,-0.7973778890223201
6.0200000000000005,-9.954600269522082,-6.91736706598999,0.798704792595336,-6.91736706598999,-0.798704792595336
6.03,-9.968643118655882,-6.928857756259794,0.8000316959179987,-6.928857756259794,-0.8000316959179987
6.04,-9.982683920983202,-6.940348446451434,0.8013585989915483,-6.940348446451434,-0.8013585989915483
6.050000000000001,-9.996722681573786,-6.951839136565301,0.802685501817218,-6.951839136565301,-0.802685501817218
6.0600000000000005,-10.010759405478284,-6.963329826601775,0.8040124043962313,-6.963329826601775,-0.8040124043962313
6.07,-10.024794097723742,-6.9748205165612385,0.8053393067298038,-6.9748205165612385,-0.8053393067298038
6.08,-10.03882676331833,-6.986311206444074,0.8066662088191454,-6.986311206444074,-0.8066662088191454
6.09,-10.052857407249503,-6.997801896250654,0.8079931106654537,-6.997801896250654,-0.8079931106654537
6.1,-10.066886034483955,-7.009292585981362,0.8093200122699222,-7.009292585981362,-0.8093200122699222
6.11,-10.080912649967486,-7.0207832756365605,0.8106469136337341,-7.0207832756365605,-0.8106469136337341
6.12,-10.09493725862762,-7.032273965216624,0.8119738147580687,-7.032273965216624,-0.8119738147580687
6.130000000000001,-10.108959865369902,-7.043764654721922,0.8133007156440926,-7.043764654721922,-0.8133007156440926
6.140000000000001,-10.122980475080421,-7.055255344152815,0.814627616292968,-7.055255344152815,-0.814627616292968
6.15,-10.136999092625308,-7.06674603350967,0.8159545167058482,-7.06674603350967,-0.8159545167058482
6.16,-10.151015722852483,-7.078236722792841,0.8172814168838808,-7.078236722792841,-0.8172814168838808
6.17,-10.1650303705876,-7.089727412002691,0.8186083168282055,-7.089727412002691,-0.8186083168282055
6.18,-10.179043040638966,-7.101218101139576,0.8199352165399517,-7.101218101139576,-0.8199352165399517
6.19,-10.193053737794154,-7.112708790203849,0.8212621160202456,-7.112708790203849,-0.8212621160202456
6.2,-10.207062466822146,-7.124199479195858,0.8225890152702037,-7.124199479195858,-0.8225890152702037
